,Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
192,,,Turkmenistan,6.6,18.5,76.2,422.8,1116.9,0.2,2.2,4.6,58.8,100.0,89.30934579439251
193,,,Turks and Caicos Islands,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
194,,,Tuvalu,15.5,84.5,0.7,507.4,601.0,12.2,0.9,3.8,26.1,84.20245398773007,89.30934579439251
195,Uganda,,Uganda,6.2,16.6,40.3,37.6,117.1,40.4,0.1,0.6,1.1,32.2,89.30934579439251
196,Ukraine,,Ukraine,6.7,42.4,54.3,141.2,534.2,0.8,3.0,7.1,86.6,100.0,99.0
197,United Arab Emirates,,United Arab Emirates,3.5,72.5,18.6,1323.1,2546.2,0.0,2.4,5.6,37.937142857142874,100.0,87.0
198,United Kingdom,,United Kingdom,9.8,80.2,15.1,3958.0,4177.8,0.0,2.8,8.3,133.3,100.0,100.0
199,US,,United States,17.1,81.8,11.1,9869.7,9869.7,0.0,2.6,8.6,54.7,100.0,98.0
200,Uruguay,,Uruguay,9.1,71.7,17.4,1379.1,1958.9,0.0,5.0,1.9,38.9,100.0,99.0
201,Uzbekistan,,Uzbekistan,6.3,46.1,52.2,135.1,416.9,1.2,2.4,12.1,50.4,84.20245398773007,89.30934579439251
202,,,Vanuatu,3.7,53.9,8.4,109.8,116.1,34.6,0.2,1.4,3.2,43.0,89.30934579439251
203,Venezuela,,"Venezuela, RB",3.2,24.1,40.0,1578.4,940.0,0.0,1.7232804232804229,4.139153439153439,18.1,81.0,100.0
204,Vietnam,,Vietnam,5.7,47.4,44.6,122.8,356.3,2.3,0.8,1.4,37.937142857142874,96.0,89.30934579439251
205,US,Virgin Islands,Virgin Islands (U.S.),6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,84.20245398773007,89.30934579439251
206,,,West Bank and Gaza,6.715053763440857,52.91505376344087,32.66182795698924,1037.0048387096776,1412.466666666667,9.116766467065869,1.7232804232804229,4.139153439153439,37.937142857142874,96.0,89.30934579439251
207,,,"Yemen, Rep.",5.6,10.2,81.0,72.0,144.5,7.8,0.3,0.7,0.8,30.7,89.30934579439251
208,Zambia,,Zambia,4.5,38.3,12.1,56.5,175.2,42.5,0.1,0.9,1.5,11.3,89.30934579439251
209,Zimbabwe,,Zimbabwe,9.4,46.5,21.2,93.9,185.0,25.4,0.1,1.2,1.6,38.0,89.30934579439251
