,Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
18,Benin,,Benin,3.9,20.5,43.5,30.4,83.5,30.5,0.2,0.6,1.9,85.6,89.30934579439251
19,Bhutan,,Bhutan,3.5,74.0,20.1,91.3,293.1,4.8,0.4,1.5,2.9,100.0,89.30934579439251
20,Bolivia,,Bolivia,6.9,65.7,28.0,213.0,496.3,3.2,1.6,0.7,33.9,92.0,89.30934579439251
21,Bosnia and Herzegovina,,Bosnia and Herzegovina,9.2,70.8,28.7,443.8,1123.4,0.2,2.0,6.3,32.3,84.20245398773007,89.0
22,Botswana,,Botswana,5.5,55.9,5.2,379.9,931.3,6.7,0.4,3.3,3.6,88.0,89.30934579439251
23,Brazil,,Brazil,11.8,33.2,43.6,1015.9,1777.5,0.1,2.1,9.7,55.5,96.0,93.0
24,Brunei,,Brunei Darussalam,2.3,94.9,5.1,630.6,1812.4,0.0,1.8,6.6,37.937142857142874,84.20245398773007,89.0
25,Bulgaria,,Bulgaria,8.2,50.6,48.0,612.5,1577.9,9.116766467065869,4.0,5.3,112.7,100.0,100.0
26,Burkina Faso,,Burkina Faso,6.8,40.1,31.4,40.9,115.6,23.5,0.1,0.6,0.6,76.9,89.30934579439251
27,Burundi,,Burundi,6.2,29.1,30.5,18.5,50.3,38.6,0.1,0.7,0.4,83.5,89.30934579439251
28,Cabo Verde,,Cabo Verde,5.2,56.8,26.0,159.1,347.6,15.1,0.8,1.2,16.0,91.0,89.30934579439251
29,Cambodia,,Cambodia,6.1,21.8,58.6,77.7,228.6,18.9,0.2,1.0,4.2,73.3,89.30934579439251
30,Cameroon,,Cameroon,4.7,13.3,69.5,64.5,169.3,9.3,0.1,0.9,1.2,66.0,89.30934579439251
31,Canada,,Canada,10.5,73.4,14.6,4458.2,4718.3,9.116766467065869,2.6,9.9,43.9,100.0,100.0
